0	56653.80755368620157	3808.3	3808.3	3808.3	3808.3	3808.3	172274.2	172274.2	172274.2	172274.2	172274.2	10255.7	10255.7	10255.7	10255.7	10255.7	12341.3	12341.3	12341.3	12341.3	12341.3	3681.3	3681.3	3681.3	3681.3	3681.3
1	56653.80753712807928	7945.9	7945.9	7945.9	7945.9	7945.9	338269.9	338269.9	338269.9	338269.9	338269.9	18554.2	18554.2	18554.2	18554.2	18554.2	23953.2	23953.2	23953.2	23953.2	23953.2	8930.4	8930.4	8930.4	8930.4	8930.4
2	56653.80760480123718	6966.2	6966.2	6966.2	6966.2	6966.2	337701.8	337701.8	337701.8	337701.8	337701.8	18575.6	18575.6	18575.6	18575.6	18575.6	23426.3	23426.3	23426.3	23426.3	23426.3	8240.9	8240.9	8240.9	8240.9	8240.9
3	56653.80767247439508	8041.5	8041.5	8041.5	8041.5	8041.5	335530.0	335530.0	335530.0	335530.0	335530.0	18561.4	18561.4	18561.4	18561.4	18561.4	23077.5	23077.5	23077.5	23077.5	23077.5	8719.0	8719.0	8719.0	8719.0	8719.0
4	56653.80774014755298	7361.6	7361.6	7361.6	7361.6	7361.6	329151.9	329151.9	329151.9	329151.9	329151.9	18500.9	18500.9	18500.9	18500.9	18500.9	23921.5	23921.5	23921.5	23921.5	23921.5	9005.0	9005.0	9005.0	9005.0	9005.0
5	56653.80780782070360	8476.3	8476.3	8476.3	8476.3	8476.3	335275.0	335275.0	335275.0	335275.0	335275.0	18762.6	18762.6	18762.6	18762.6	18762.6	24462.0	24462.0	24462.0	24462.0	24462.0	8273.7	8273.7	8273.7	8273.7	8273.7
6	56653.80787549386150	7772.3	7772.3	7772.3	7772.3	7772.3	336414.6	336414.6	336414.6	336414.6	336414.6	18411.9	18411.9	18411.9	18411.9	18411.9	24167.4	24167.4	24167.4	24167.4	24167.4	9062.8	9062.8	9062.8	9062.8	9062.8
7	56653.80794316701940	8540.7	8540.7	8540.7	8540.7	8540.7	338720.7	338720.7	338720.7	338720.7	338720.7	18741.9	18741.9	18741.9	18741.9	18741.9	24448.2	24448.2	24448.2	24448.2	24448.2	7501.8	7501.8	7501.8	7501.8	7501.8
8	56653.80801084017003	7810.7	7810.7	7810.7	7810.7	7810.7	333697.0	333697.0	333697.0	333697.0	333697.0	18679.3	18679.3	18679.3	18679.3	18679.3	23898.3	23898.3	23898.3	23898.3	23898.3	8257.7	8257.7	8257.7	8257.7	8257.7
9	56653.80807851332793	7352.2	7352.2	7352.2	7352.2	7352.2	335028.8	335028.8	335028.8	335028.8	335028.8	18310.3	18310.3	18310.3	18310.3	18310.3	23773.0	23773.0	23773.0	23773.0	23773.0	7691.3	7691.3	7691.3	7691.3	7691.3
10	56653.80814618648583	8317.6	8317.6	8317.6	8317.6	8317.6	334261.9	334261.9	334261.9	334261.9	334261.9	18849.3	18849.3	18849.3	18849.3	18849.3	23647.5	23647.5	23647.5	23647.5	23647.5	7957.8	7957.8	7957.8	7957.8	7957.8
11	56653.80821385964373	7182.9	7182.9	7182.9	7182.9	7182.9	337090.9	337090.9	337090.9	337090.9	337090.9	19310.2	19310.2	19310.2	19310.2	19310.2	24176.8	24176.8	24176.8	24176.8	24176.8	7480.2	7480.2	7480.2	7480.2	7480.2
12	56653.80828153280163	8545.1	8545.1	8545.1	8545.1	8545.1	336515.3	336515.3	336515.3	336515.3	336515.3	18585.5	18585.5	18585.5	18585.5	18585.5	24321.0	24321.0	24321.0	24321.0	24321.0	7130.9	7130.9	7130.9	7130.9	7130.9
13	56653.80834920595225	7221.6	7221.6	7221.6	7221.6	7221.6	336745.9	336745.9	336745.9	336745.9	336745.9	18513.0	18513.0	18513.0	18513.0	18513.0	23618.1	23618.1	23618.1	23618.1	23618.1	7970.9	7970.9	7970.9	7970.9	7970.9
14	56653.80841687910288	7872.1	7872.1	7872.1	7872.1	7872.1	337438.1	337438.1	337438.1	337438.1	337438.1	19028.7	19028.7	19028.7	19028.7	19028.7	23991.9	23991.9	23991.9	23991.9	23991.9	7964.0	7964.0	7964.0	7964.0	7964.0
15	56653.80848455226078	7864.9	7864.9	7864.9	7864.9	7864.9	337683.8	337683.8	337683.8	337683.8	337683.8	19848.3	19848.3	19848.3	19848.3	19848.3	23484.5	23484.5	23484.5	23484.5	23484.5	8214.3	8214.3	8214.3	8214.3	8214.3
16	56653.80855222541868	8273.2	8273.2	8273.2	8273.2	8273.2	335040.9	335040.9	335040.9	335040.9	335040.9	18591.2	18591.2	18591.2	18591.2	18591.2	23769.4	23769.4	23769.4	23769.4	23769.4	7493.8	7493.8	7493.8	7493.8	7493.8
17	56653.80861989857658	7550.6	7550.6	7550.6	7550.6	7550.6	337063.5	337063.5	337063.5	337063.5	337063.5	18242.4	18242.4	18242.4	18242.4	18242.4	23851.6	23851.6	23851.6	23851.6	23851.6	9069.5	9069.5	9069.5	9069.5	9069.5
18	56653.80868757173448	7553.5	7553.5	7553.5	7553.5	7553.5	334195.9	334195.9	334195.9	334195.9	334195.9	19035.2	19035.2	19035.2	19035.2	19035.2	23570.7	23570.7	23570.7	23570.7	23570.7	8095.1	8095.1	8095.1	8095.1	8095.1
19	56653.80875524489238	7503.0	7503.0	7503.0	7503.0	7503.0	336668.7	336668.7	336668.7	336668.7	336668.7	17870.5	17870.5	17870.5	17870.5	17870.5	23629.3	23629.3	23629.3	23629.3	23629.3	8465.9	8465.9	8465.9	8465.9	8465.9
